Borough	Latitude	Longitude
东四	39.92435	116.41749
天坛	39.88119	116.41049
官园	39.93563	116.35972
万寿西宫	39.87971	116.36855
奥体中心	39.91116	116.28073
农展馆	39.93739	116.46246
万柳	39.96761	116.29765
北部新区	40.08124	116.15673
植物园	40.003124	116.208284
丰台花园	39.86374	116.28541
云岗	39.810443	116.161999
古城	40.09517	116.49649
房山	39.74788	116.14294
大兴	39.72684	116.34159
亦庄	39.80258	116.48061
通州	39.90998	116.65714
顺义	40.120728	116.662253
昌平	40.22077	116.23128
门头沟	39.94048	116.10146
平谷	40.14062	117.12141
怀柔	40.316	116.63177
密云	40.37625	116.84317
延庆	40.45678	115.97503
定陵	40.294948	116.225829
八达岭	40.356585	116.01548
密云水库	40.52248	116.87101
东高村	40.10479	117.11673
永乐店	39.70886	116.79679
榆垡	39.51048	116.31557
琉璃河	39.59814	116.03077
前门	39.9001	116.39794
永定门内	39.874212	116.398188
西直门北	40.22077	116.23128
南三环	39.85933	116.43465
东四环	39.91107	116.48995
